gpid,comment
0,치킨값 하나면 도트의 세계를 평정할 수 있는 전설의 프로그램.
0,도트 애니메이션
0,앱 성능 10 / 10나의 실력 0.1 / 10
0,뇌:대충 개쩌는 그림손:내가 이걸 어케 그리는데눈:내가 뭘 그린거냐
0,이제 그만 일하고 싶어요..
0,최고의 픽셀아트툴
0,도트 찍고 애니메이션 만들기 최적화된 툴그리고 굉장히 개인차를 타는 게임 아닌 '그래픽 프로그램'
0,한글이 지원 되지만 잘려서 보이기 때문에 깔끔하게 사용하려면 추가적으로 패치를 해야합니다!그거말고는 다 괜찮은거 같아요 아직 도트응애지만 잘사용중입니다
0,여기 안에 사람이 살아요........ 살려줘
0,한글패치되서 입문하기좋아요
1,얘는! 씹덕 배경화면 받을려고 설치하는거 다 안단다!
1,장점 :- 배경화면 애니메이션 효과가 좋아요- 선택 범위가 넓어서 좋아요단점 :- 소리가 강제되는 배경은 싫어요
1,지갑에 5000원이 있다고? 그래? 일단 사. 왜? 아니아니 일단 사봐 ㅇㅇ
1,시간이 지나면 지날수록 좋아지는 컨텐츠
2,농장게임 별로안좋아하는데 막상해보니까 다같이 하면 재밌네요한번 친구들끼리 게임해보는것도 강추해드립니다.!
2,밤새면서 친구랑 하기 너무 좋고 힐링됨
2,스토리 : ★★★★★편의성 : ★★★★★컨텐츠 : ★★★★★재 미 : ★★★★★평 가 : ★★★★★솔로 또는 여럿이 플레이하기에 재미있었네요. 컨텐츠가 많아 시간 가는줄 몰랐네요.
2,고인물하나데리고하면개재밋음
2,진자 처음이 개ㅐㅐㅐㅐㅐㅐ노잼임근데 하다보면 어느순간 하루에 8시간 하는 시기가 찾아옴. 블로그도 찾아보고 결국엔 스듀위키까지 닿게됨.
2,겁나 좋아요ㅕ
2,힐링겜을 그닥 좋아하진않는데 이건 너무재밌음 시간순삭임
2,개재밋엉
2,힐링 그 자체
3,핵앤슬래시 갓겜 근데 로그라이크인지는 몰루겟음... 이게 로그라이크면 던파도 로그라이크지 몇 번 죽어버리면 던전 처음부터 다시 돌아야되는데 그냥 재밌는 액션 게임인 것임...
3,분명 클각 개씨게 잡혔는데 순수 피지컬로 못깨니까 오른손모가지 돌려버리고싶네 씨벌
3,스타일리쉬타격감
3,진짜 재밌어요
3,로그라이크를 RPG와 핵앤슬래쉬로 풀어낸 명작.2D에서 나올 수 있는 최고의 타격감.취향을 타지만 고퀄리티의 2D 원화.단점이 있다면 무기와 은혜의 밸런스가 좀 안맞는 게 있다는 정도...인데뽑기운도 로그라이크의 재미 중 하나라고 넘어가면.... 사실 로그라이크를 거의 안하는데 이 게임은 로그라이크를 기반으로 해서 로그라이크를 벗어났음. 추천
3,아빠가아들을사랑하는건무슨병이냐?ㄴ 부성애ㅂㅅ아
3,내인생갓겜
3,이게 로그라이트의 미래다
3,꿀잼
3,확실히 타격감 맛있고 다양하고 재밌다반복이 필수인 장르 특성상 루즈해질 수 있지만그 반복 속에 스토리가 가미되어 있어서 의미없는 반복이 아닌 점이 마음에 들었다.그러나 n회 탈출을 몇번이고 반복시키게 만들기 위해서 스토리를 인질삼았다.그 마저 전개가 시원시원하면 좋으련만 속이 꽉- 패죽이고싶다스토리 인질삼아 n회차 시키려는 의도가 감점요인.그냥 탈출 안하면 안되냐? 철없는 왕자새끼야
4,갓겜스티커 1.5장.
4,가끔 먹는 불량식품 같은 느낌의 게임
4,장르의 전성기를 이끈 작품
4,하던게임 점검하거나 뭐가 잘 안되서 현타 올때리프레쉬하는 마음으로 가끔 하면 밤샘
4,전 마늘이 좋아요
4,"시원시원하고 라이트한 게임인줄 알았는데.. 생각보다 하드하고, 파면 팔수록 뭔가 계속 나오는 2D 고인물들의 게임이었습니다.... 잘만든 게임이지만, 생각보다 매판마다 플레이 시간이 꽤 긴 편이고, 즐기는게 목적이 아니고 달성하는게 목적입니다.가볍게 즐기는게 목적이라면 비추. 평소에 슈팅게임이나 2D게임 깊게 파는거 좋아하면 추천"
4,"저렴한 가격, 가볍게 즐기는 중독성 있는 게임"
4,그래픽은 후졌지만 중독성이 강합니다.시간 순삭 추천!! 따봉
4,"단순하고 재밌다, 여러 조합하는 재미와 새로운 캐릭터들, 수집욕과 조합하는 재미가 있는데 가격도 착하다."
5,이 게임을 하면 당신도 몇놈을 죽였던 신경쓰지 않고 대가리 시원하게 터지러 달려오는 야만인들과 함께변방계 인성 평균인 신안 감자밭 + 코카인수리남 + 장기밀매를 겸하는 노예상인이 될수 있습니다!
5,잠깐 했는데 아기자기하고 재밌네요
5,그냥 녹두로가 했던거 보련다
5,인생이 없어집니다 하지마세요
5,재밌다
5,림 키우는 맛이 아주 쏠쏠함보기만해도 기분 좋음
5,시발 수능후에 샀어야 했는데 시발
5,별로 재미 없네요
5,림월드는 야스다10/10
5,"림린이 너무 즐거워요초반 가이드 정도는 유튜브 보는 게 낫지만, 나머진 직접 부딪혀가며 먹는데 너무 재밌다...'타이난의 이야기 생성기'"
6,재미있는 단기 목표들를 꾸준히 제공하여 끊임없이 플레이하게 됨. 위트있는 스토리와 연출이 너무 재미있고 게임에 애정이 가게 됨. 도른자들이 만든 최고의 게임같음.
6,즐거운바다탐험
6,잘만듬 시간죽이기에도 괜찮고 바다 탐험하면서 맵 보는맛도 있고 초밥집 경영하는 재미도 있음
6,감성있고 재밌음
6,재밌어 아무생각없이 하다보니 시간순삭
6,플탐86시간 35일차 정도에 엔딩을 봤지만 거기서 살짝 식긴한다근데 전체적으로 재미있게 잘만들었고 여러가지 테크올리는 재미가있음별4/5개드립니다
6,완전짱짱잼남
6,일단 그래픽이 너무 힐링입니다 보는 것 만으로 상쾌함이 느껴지고요. 유머스러운 컷씬도 좋고 사운드도 좋아요. 어렵고 지치게 하는 게임하고 나면은 이 게임이 생각나서 찾고 있어요. 짧은 시간 오래오래 플레이 할거 같아요. 하는 동안 시간도 잘 갑니다. 개인적으로 한가지 아쉬운점이 있다면 마린카드는 실제사진이나 영상이었으면 수집욕구도 더 생겼을 것 같아요. 힐링게임으로 강추합니다!!
7,집 청소도 안하는데 이 청소는 하게 됨
7,시간 순삭
7,아무생각없이 하기 좋음근데 마지막에 어디안닦았는지 모를때 개빡침그리고 오래하면 손목아픔
7,재밌긴한데 컨텐츠가 너무 적음
7,친구 없으면 하지마셈 혼자서 하면 정신 나갈거같음
7,하다보면 날이 새있음
7,히히 세제발싸
7,이정도면 집만 흙탕물에 담궜다 뺀수준....아닌가?
7,물소리 들으면서 친구랑 수다 떨기 좋은 청소 게임
7,"천천히, 차근차근하는 물청소에서 오는 마음의 평화"
8,최고의 게임.
8,패드조작감 지랄맞은거 말곤 갓겜
8,"아 진짜 미친,,게임.... 뭔데 날 울려...."
8,가슴 울리는 스토리. 바로 이거거등~
8,이게임 ㄹㅇ 너무 슬퍼서 2번 했는데 둘 다 울었어요 ㅜㅜ
8,난 준나 우는 부엉이요....
8,한국 인디계의 희망 산나비. 플레이 하는 내내 줄줄 울고 있었습니다. 그거랑 별개로 매트로베니아+스타일리쉬한 액션이 굉장히 마음에 들었습니다. 게이머라면 무조건 플레이 해봐야 하는 필수 게임.
8,스피디하고 타격감도 좋고 스토리도 좋고 맘에 듭니다
8,스토리 좋음. 보통 난이도로 하면 무난하지만 몇몇 스테이지가 조금 스트레스 받을정도로 어려움. 스토리 정말 마음에듬 .... ㅠㅜ
9,젠장 이 도트는 대체 뭐냐
9,동방 주접떨다가 하라고하면 안하는 서명빈 떄문에 추천줌
9,타임 스토프
9,레이무까지 다잡았음최대한 힐없이꺠려했는데 레이무 마지막패턴에서 먹고말았다. 게임 되게 재밌게했음
9,"의외로 재밋슴,."
9,성실하게 잘 만든 게임.
9,마나만 없었으면 참 좋았을텐데
9,"엔딩 봤고 엑스트라 보스는 아직 못잡음 일단 재미부터 얘기하자면, 굉장히 재밌었음. 단, 구매 전 먼저 고려해야 할 상황이 있는데, 이 게임, 꽤나 난이도가 있기에 난이도 높은 게임을 좋아하지 않는다면 비추. 나 역시도 어려운 게임에는 완전 쥐약인지라, 하다가 고민한 순간들이 많았지만, 결국에는 어찌저찌 다 깨게 되어있더라. 시스템이 나름 밸런스가 잘 잡혀있음. 판정 역시도 꽤 정확해서 아니, 오히려 후한 편이라 뭐라 할수도 없었음. 단점 생각하라고 하니, 딱히 떠오르지 않네. 꽤나 합리적인 난이도라고 생각했고, 퀄리티도 높고 멋도 있음. 굉장히 추천."
9,손가락 아픔
10,스토리 보면서 청소하는데 재밌었다.
10,"범죄 현장을 청소한다는 컨셉을 갖춘 청소게임입니다.처음 할 때는 청소 게임이랑 뭐가 다를까? 범죄 현장을 청소한다는거 외에는 특별한거 없지 않나 하는 가벼운 마음에 했다가 몰입하게 되었네요.일단 청소 모션이 너무 좋습니다.대걸레, 스펀지, 고압 압착기 같은 다양한 도구들은 상황에 맞게 쓰도록 유도 되어 있는게 너무 좋았네요.바닥을 닦고 핏자국을 닦아내는 묘사가 리얼한 느낌이 들어 청소를 즐겁게 하게 되었습니다.반복작업이다 보니 어느 순간 지루해질거 같다가도 재밌게 하게 되었어요.물을 갈고 청소 도구를 정돈하고 다음 현장으로 가는 과정이 잘 구현되어 있었습니다. 다음 현장 갈 때 스킬 포인트를 투자해 청소 기술을 업그레이드 할 수 있는 것도 좋았습니다. 또 와 할 정도의 스토리까지는 아니었지만, 주인공이 왜 시체 청소를 하는지 그 과정을 눈여겨 보는 것도 재밌었습니다.스토리를 직접적으로 전개하는건 아니지만 주위의 도구나 자료를 바탕으로, 독백을 하면서 주인공이 어떤 처지에 놓여 있는지를 상기하는 모습이 좋았습니다.물론 주인공의 목소리는 호불호가 갈립니다. 일반적인 상황이었다면 멘탈 박살나고도 남을 상황에 덤덤히 하는 목소리는,터미네이터나 포스탈 게임에 나오는 듀드를 연상하게 합니다. 또 스테이지마다 다양한 장소가 이어져서 각 장소마다 숨겨진 기밀이나 수집 요소를 찾는 재미도 쏠쏠합니다.다만 출시한 지 얼마 안 되어 잔 버그들이 많습니다.시신을 처리할 때 트렁크에 놓은 시신이 땅으로 꺼져버리거나, 물건을 놓았는데 어딘가로 사라져 처음부터 다시 해야 하는 경우가 종종 있습니다.그리고 쓰레기나 가구를 처리할 때 위치 찾는게 굉장히 난잡합니다.이게 초반 집이나 아파트 맵은 괜찮은데 야외같은 스케일 큰 맵으로 가면 곤란해집니다.가령 챕터 7이 캠프장인데 판자 쪼가리 하나 찾는데 20분을 헤매고 다녔습니다.물론 청소 감각이라는 기술이 있긴 한데 이것만으로 넓은 공간을 쓰기가 힘들엇습니다.개인적으로 코덱스에 미니맵 기능이나 스킬을 올려서 남은 잔해를 찾는 기술같은게 추가되었으면 합니다."
10,"판매 전부터 찜해놓고 기다렸다가 이번에 구매해봤는데,생각보다 시간도 잘가고 재밌게 플레이 했습니다.좀 더 많은 스테이지가 등장하면 좋겠네요.미션 10개에 15시간 정도면 끝나서 주말 2틀만에 끝내고 조금은 아쉬운 플레이 타임입니다."
10,장점 : 범죄현장 청소부라는 영화적 상상을 충족하기엔 좋습니다.단점 : 일단 조금만 높아도 올라가기가 어렵습니다. 진짜 병신같이 못올라가요. 이것 때문에 불편한 게 한둘이 아닙니다.스킬 노드가 이상한 것도 있고 필요없는 기능특히 툴바 같은 것이 진짜 별로입니다.즉 게임의 조작감 같은 기본적인 것이 별로에요. 총평 : 조작감이 병신같은 게임이지만 재밌습니다. 할인하면 살만한 게임이에요.
10,쓰레기를 치우세요.2. 물통에 물을 받으세요.3. 걸레질을 하세요.4. 뒷걸음질 치다가 물통을 엎지르세요.5. 물을 다시 받아오세요.6. 걸레질을 하세요.7. 걸레질 하다가 물통을 쳐서 물을 엎지르세요.8. 물을 다시 받아오세요.9. 걸레를 행구다가 실수로 쳐서 물통을 뒤집으세요.10. 물을 다시 받아오세요.
10,청소게임 중 최고
10,도전과제 깨는 재미 쏠쏠 멀미약 먹어가면서 함
10,시간 가는줄 모르고 엔딩까지 게임했습니다. 멍하니 청소하는 재미가 있네요 :)
10,나 청소 좋아하네..'
11,친구필요
11,스토리 : ★★편의성 : ★★★컨텐츠 : ★★★★★재 미 : ★★★★★평 가 : ★★★★솔로 보다는 여럿이 플레이하기에 재미있었네요.
11,다른게임 눈에도 안들어 온다. 그만큼 재미있다~
