name,release_date,image_src
Aseprite,2016-02-22,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/431730/header.jpg?t=1712679350
Wallpaper Engine,2018-11-01,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/431960/header.jpg?t=1717097477
Stardew Valley,2016-02-26,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg?t=1711128146
Hades,2020-09-17,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1145360/header.jpg?t=1715722799
Vampire Survivors,2022-10-20,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/capsule_sm_120.jpg?t=1725465014
RimWorld,2018-10-17,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/294100/header.jpg?t=1725405670
DAVE THE DIVER,2023-06-28,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1868140/header.jpg?t=1724417893
PowerWash Simulator,2022-07-14,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1290000/header.jpg?t=1726768242
SANABI,2023-11-08,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1562700/header.jpg?t=1726714438
Touhou Luna Nights,2019-02-25,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/851100/header.jpg?t=1708324044
Crime Scene Cleaner,2024-08-14,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040200/header.jpg?t=1726570704
Phasmophobia,2020-09-18,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/739630/header.jpg?t=1727019976
Satisfactory,2024-09-10,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/526870/header_alt_assets_2.jpg?t=1727083816
Cuphead,2017-09-29,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/268910/capsule_sm_120.jpg?t=1709068852
Ori and the Will of the Wisps,2020-03-10,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1057090/header.jpg?t=1701967625
To the Moon,2012-09-07,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/206440/header.jpg?t=1726196464
Dorfromantik,2022-04-28,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1455840/header.jpg?t=1725021706
Universe Sandbox,2015-08-24,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230290/header.jpg?t=1724091487
Desperados III,2020-06-16,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/610370/header.jpg?t=1725010859
Rusty's Retirement,2024-04-26,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2666510/header.jpg?t=1726603687
Tiny Glade,2024-09-23,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2198150/header.jpg?t=1727200708
